"word","helpful","unhelpful","EXTP","NEUT","EXTN"
"ãd",-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997
"ãda",-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997
"ãdthe",-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997
"ãe",-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997
"ãs",-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997
"ãsthe",-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997
"ãwhat",-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997,-11.3350778849997
"aaron",-11.3350778849997,-8.39063890583328,-8.39063890583328,-8.39063890583328,-11.3350778849997
"aarons",-11.3350778849997,-9.72563997256562,-11.3350778849997,-9.72563997256562,-11.3350778849997
"aback",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"abandoning",-11.3350778849997,-10.2364655963316,-10.2364655963316,-10.2364655963316,-11.3350778849997
"abc",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"abilities",-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441,-9.38916773594441
"ability",-9.72563997256562,-9.72563997256562,-9.72563997256562,-11.3350778849997,-11.3350778849997
"abit",-10.6419307044398,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.6419307044398
"abject",-10.2364655963316,-11.3350778849997,-11.3350778849997,-11.3350778849997,-10.2364655963316
"able",-7.90109068051457,-7.90109068051457,-7.90109068051457,-7.90109068051457,-7.90109068051457
"about",-5.37407254537645,-5.37407254537645,-5.37407254537645,-5.37407254537645,-5.37407254537645
"aboutmovies",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"aboutthe",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"aboutto",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"above",-8.85017123521172,-8.85017123521172,-8.85017123521172,-8.85017123521172,-11.3350778849997
"abovebut",-11.3350778849997,-10.6419307044398,-10.6419307044398,-11.3350778849997,-11.3350778849997
"abrasive",-10.6419307044398,-11.3350778849997,-11.3350778849997,-10.6419307044398,-11.3350778849997
"abrupt",-11.3350778849997,-11.3350778849997,-10.2364655963316,-11.3350778849997,-11.3350778849997
